Receipt ID,Date,Amount,Recurring Total Months,Recurrence Number,Recipient,Fundraising Page,Fundraising Partner,Reference Code 2,Reference Code,Donor First Name,Donor Last Name,Donor Addr1,Donor Addr2,Donor City,Donor State,Donor ZIP,Donor Country,Donor Occupation,Donor Employer,Donor Email,Donor Phone,New Express Signup,Comments,Check Number,Check Date,Employer Addr1,Employer Addr2,Employer City,Employer State,Employer ZIP,Employer Country,Donor ID,Fundraiser ID,Fundcandidateiser Recipient ID,Fundraiser Contact Email,Fundraiser Contact First Name,Fundraiser Contact Last Name,Partner ID,Partner Contact Email,Partner Contact First Name,Partner Contact Last Name,Reserved,Lineitem ID,AB Test Name,AB Variation,Recipient Committee,Recipient ID,Recipient Gov ID,Recipient Election,Reserved,Payment ID,Payment Date,Disbursement ID,Disbursement Date,Recovery ID,Recovery Date,Refund ID,Refund Date,Fee,Recur Weekly,ActBlue Express Lane,Reserved,Card Type,Reserved,Reserved,Reserved,Reserved,Mobile,Recurring Upsell Shown,Recurring Upsell Succeeded,Double Down,Smart Recurring,Monthly Recurring Amount,Apple Pay,Card Replaced by Account Updater,ActBlue Express Donor,Custom Field 1 Label,Custom Field 1 Value,Donor US Passport Number,Text Message Opt In,Gift Identifier,Gift Declined,Shipping Addr1,Shipping City,Shipping State,Shipping Zip,Shipping Country,Weekly Recurring Amount,Smart Boost Amount,Smart Boost Shown
AB194699325,2021-04-07 18:42:12,2400,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Natalie,Villalobos,164 Lafayette Avenue #2,,Brooklyn,NY,11238,United States,Product Marketing Manager,Google,pretend384138578@example.com,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384138578,,,Example Candidate for Congress,115876,C00776658,,f,236143772,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,94.8,,,,VISA,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194699996,2021-04-07 18:52:53,1000,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Hira,Baig,300 E 75th,,New York,NY,10021,United States,Lawyer,Lawyer,pretend384139443@example.com,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384139443,,,Example Candidate for Congress,115876,C00776658,,f,236144440,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,39.5,,,,VISA,,,,,t,,,,,,,,,,,,unknown,,,,,,,,,,
AB194701258,2021-04-07 19:13:42,500,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Samir,Salih,217 West Ave,,Ithaca,NY,14850,United States,Product development Specialist,Facebook,pretend384141006@example.com,,t,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384141006,,,Example Candidate for Congress,115876,C00776658,,f,236145785,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,19.75,,,,VISA,,,,,t,,,,,,t,,t,,,,unknown,,,,,,,,,,
AB194701680,2021-04-07 19:17:27,50,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Angela,Zhang,2226 Black Pine Rd.,,Chino Hills,CA,91709,United States,Not Employed,Not Employed,,,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384141520,,,Example Candidate for Congress,115876,C00776658,,f,236146000,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,1.98,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194701774,2021-04-07 19:18:42,500,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Avani,Bhargava,4 Penwood Rd,,Basking Ridge,NJ,7920,United States,Software Engineer,Facebook,pretend384141658@example.com,,f,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384141658,,,Example Candidate for Congress,115876,C00776658,,f,236146084,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,19.75,,,,MasterCard,,,,,,,,,,,,,t,,,,unknown,,,,,,,,,,
AB194701777,2021-04-07 19:18:50,100,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Abbas,Mohamed,3966 Stillwater Court,,Dublin,CA,94568,United States,CDMA,Gilead,,,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384141660,,,Example Candidate for Congress,115876,C00776658,,f,236146091,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,3.95,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194702252,2021-04-07 19:25:37,100,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Michelle,Lee,85 John St. Apt 10C,,New York,NY,10038,United States,Account Manager,Google,pretend384142261@example.com,9144772818,f,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384142261,,,Example Candidate for Congress,115876,C00776658,,f,236146551,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,3.95,,,,MasterCard,,,,,t,t,,,,,,,t,,,,unknown,,,,,,,,,,
AB194702331,2021-04-07 19:26:46,50,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Yasin,Hegazy,5 West 103rd Street,,New York,NY,10025,United States,Analyst,Capital One,pretend384142357@example.com,9144772818,f,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384142357,,,Example Candidate for Congress,115876,C00776658,,f,236146626,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,1.98,,,,Discover,,,,,,t,,,,,,,t,,,,unknown,,,,,,,,,,
AB194702605,2021-04-07 19:31:40,250,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Jacob,Blumberg,321 Route US-7 North,,Middlebury,VT,5753,United States,Not Employed,Not Employed,pretend384142712@example.com,,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384142712,,,Example Candidate for Congress,115876,C00776658,,f,236146910,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,9.88,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194703253,2021-04-07 19:42:43,100,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Yarah,Shabana,4263 157th Street,,Flushing,NY,11355,United States,Not Employed,Not Employed,pretend384143532@example.com,,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384143532,,,Example Candidate for Congress,115876,C00776658,,f,236147539,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,3.95,,,,,,,,,t,,,,,,,,,,,,unknown,,,,,,,,,,
AB194703305,2021-04-07 19:43:34,500,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Govind,Acharya,3033 Campbell Pl,,Davis,CA,95618,United States,Analyst,University of California Davis,pretend384143626@example.com,9144772818,f,,400280928,2021-04-11,,,Davis,CA,95616,United States,,,examplecandidate,,,,,,,,,384143626,,,Example Candidate for Congress,115876,C00776658,,f,236147598,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,19.75,,,,Discover,,,,,,,,,,,,t,t,,,,unknown,,,,,,,,,,
AB194703390,2021-04-07 19:44:58,50,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Umar,Zaidi,121 museum street,,Somerville,MA,2143,United States,Not employed,Not employed,pretend384143735@example.com,9144772818,f,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384143735,,,Example Candidate for Congress,115876,C00776658,,f,236147681,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,1.98,,,,VISA,,,,,t,t,,,,,,,t,,,,unknown,,,,,,,,,,
AB194703905,2021-04-07 19:53:05,25,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Umar,Zaidi,121 museum street,,Somerville,MA,2143,United States,Not employed,Not employed,pretend384144430@example.com,9144772818,f,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384144430,,,Example Candidate for Congress,115876,C00776658,,f,236148215,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,0.99,,,,American Express,,,,,t,t,,,,,,,t,,,,unknown,,,,,,,,,,
AB194703869,2021-04-07 19:55:34,25,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Umar,Zaidi,121 museum street,,Somerville,MA,2143,United States,Not employed,Not employed,pretend384144385@example.com,9144772818,f,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384144385,,,Example Candidate for Congress,115876,C00776658,,f,236148357,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,0.99,,,,VISA,,,,,t,,,,,,,,t,,,,unknown,,,,,,,,,,
AB194704184,2021-04-07 19:59:03,100,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Bushra,Hamid,11808 Crescent Bluff Dr,,Pearland,TX,77584,United States,Teacher,HISD,,9144772818,f,,400280928,2021-04-11,,,Houston,TX,77022,United States,,,examplecandidate,,,,,,,,,384144793,,,Example Candidate for Congress,115876,C00776658,,f,236148558,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,3.95,,,,VISA,,,,,t,t,,,,,,,t,,,,unknown,,,,,,,,,,
AB194704263,2021-04-07 19:59:10,250,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,brandon,in,6394 California Ave,,Long Beach,CA,90805,United States,Software Engineer,Optimize.health,,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384144898,,,Example Candidate for Congress,115876,C00776658,,f,236148569,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,9.88,,,,VISA,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194704368,2021-04-07 20:00:50,100,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Anysa,Badran,5307 250th street 5307,,LITTLE NECK,NY,11362,United States,Not Employed,Not Employed,pretend384145037@example.com,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384145037,,,Example Candidate for Congress,115876,C00776658,,f,236148665,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,3.95,,,,VISA,,,,,,t,,,,,,,,,,,unknown,,,,,,,,,,
AB194704365,2021-04-07 20:00:53,250,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Chris,Veasey,1011 O St NW,,Washington,DC,20001,United States,Nonprofit,Nonprofit,pretend384145035@example.com,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384145035,,,Example Candidate for Congress,115876,C00776658,,f,236148668,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,9.88,,,,VISA,,,,,t,,,,,,,t,,,,,unknown,,,,,,,,,,
AB194704435,2021-04-07 20:02:02,250,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Bushra,Hamid,11808 Crescent Bluff Dr,,Pearland,TX,77584,United States,Teacher,HISD,,9144772818,f,,400280928,2021-04-11,,,Houston,TX,77022,United States,,,examplecandidate,,,,,,,,,384145115,,,Example Candidate for Congress,115876,C00776658,,f,236148732,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,9.88,,,,VISA,,,,,t,,,,,,,,t,,,,unknown,,,,,,,,,,
AB194704538,2021-04-07 20:03:50,50,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Bushra,Hamid,11808 Crescent Bluff Dr,,Pearland,TX,77584,United States,Teacher,HISD,,9144772818,f,,400280928,2021-04-11,,,Houston,TX,77022,United States,,,examplecandidate,,,,,,,,,384145242,,,Example Candidate for Congress,115876,C00776658,,f,236148835,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,1.98,,,,VISA,,,,,t,t,,,,,,,t,,,,unknown,,,,,,,,,,
AB194704811,2021-04-07 20:08:44,2900,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Eileen,Farbman,27 west 72 street,,New York,NY,10023,United States,Not Employed,Not Employed,pretend384145601@example.com,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384145601,,,Example Candidate for Congress,115876,C00776658,,f,236149094,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,114.55,,,,American Express,,,,,t,,,,,,,,,,,,unknown,,,,,,,,,,
AB194705080,2021-04-07 20:13:56,100,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Bushra,Hamid,11808 Crescent Bluff Dr,,Pearland,TX,77584,United States,Teacher,HISD,,9144772818,f,,400280928,2021-04-11,,,Houston,TX,77022,United States,,,examplecandidate,,,,,,,,,384145948,,,Example Candidate for Congress,115876,C00776658,,f,236149352,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,3.95,,,,,,,,,t,,,,,,,,t,,,,unknown,,,,,,,,,,
AB194705649,2021-04-07 20:22:54,200,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Mohamed,Ahmed,2100 Hamilton Place BLVD. #2010,,Chattanooga,TN,37421,United States,Not Employed,Not Employed,pretend384146655@example.com,9144772818,f,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384146655,,,Example Candidate for Congress,115876,C00776658,,f,236149881,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,7.9,,,,American Express,,,,,t,,,,,,,,t,,,,unknown,,,,,,,,,,
AB194705925,2021-04-07 20:27:42,1000,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Andrew,Snow,445 EAS Way,,Fayetteville,GA,30215,United States,Attorney,Clark Lau LLC,pretend384147001@example.com,9144772818,f,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384147001,,,Example Candidate for Congress,115876,C00776658,,f,236150142,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,39.5,,,,VISA,,,,,t,,,,,,t,,t,,,,unknown,,,,,,,,,,
AB194706587,2021-04-07 20:39:23,1000,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Faran,Sikandar,1294 Peregrine Ct.,,Concord,CA,94521,United States,Machine Learning Engineer,Kettle,,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384147867,,,Example Candidate for Congress,115876,C00776658,,f,236150798,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,39.5,,,,VISA,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194707217,2021-04-07 20:50:40,500,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Harris,Moten,13217 Semora Place,,Cerritos,CA,90703,United States,Consultant,Deloitte,,,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384148684,,,Example Candidate for Congress,115876,C00776658,,f,236151392,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,19.75,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194707249,2021-04-07 20:51:07,200,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Cassandra,Tejada,50 Yonkers Terrace Apt 6L,,Yonkers,NY,10704,United States,Customer Service,Eileen Fisher,pretend384148724@example.com,,f,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384148724,,,Example Candidate for Congress,115876,C00776658,,f,236151420,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,7.9,,,,,,,,,t,,,,,,,,t,,,,unknown,,,,,,,,,,
AB194707725,2021-04-07 21:00:24,150,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Lynn,Fayad,736 N 10 St Unit 2,,San Jose,CA,95112,United States,Marketing Manager,Vela Scarves,pretend384149332@example.com,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384149332,,,Example Candidate for Congress,115876,C00776658,,f,236151877,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,5.93,,,,VISA,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194708598,2021-04-07 21:15:13,50,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Veronica,Salama,1356 Benning PL NE #2,,Atlanta,GA,30307,United States,Attorney,SPLC,pretend384150481@example.com,9144772818,f,,400280928,2021-04-11,,,Atlanta,GA,30031,United States,,,examplecandidate,,,,,,,,,384150481,,,Example Candidate for Congress,115876,C00776658,,f,236152709,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,1.98,,,,VISA,,,,,t,t,,,,,,,t,,,,unknown,,,,,,,,,,
AB194710898,2021-04-07 21:58:19,100,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Melissa,Salama,1314 33rd Avenue,,Astoria,NY,11106,United States,Attorney,Fragomen,pretend384153383@example.com,,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384153383,,,Example Candidate for Congress,115876,C00776658,,f,236155106,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,3.95,,,,VISA,,,,,,,,,,,t,,,,,,unknown,,,,,,,,,,
AB194714432,2021-04-07 23:12:48,100,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Aroona,Toor,3400 Columbia Pike APT 233,,Arlington,VA,22204,United States,Not Employed,Not Employed,pretend384157937@example.com,9144772818,f,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384157937,,,Example Candidate for Congress,115876,C00776658,,f,236158491,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,3.95,,,,Discover,,,,,,t,,,,,,,t,,,,unknown,,,,,,,,,,
AB194715173,2021-04-07 23:34:53,180,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Suzy,Garfinkle,1001 NE 8th Avenue #112,,Delray Beach,FL,33483,United States,Not Employed,Not Employed,pretend384158948@example.com,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384158948,,,Example Candidate for Congress,115876,C00776658,,f,236159264,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,7.11,,,,MasterCard,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194715832,2021-04-07 23:55:12,100,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Shannon,Thomas,1624 Bank St,,South Pasadena,CA,91030,United States,Not Employed,Not Employed,,,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384159723,,,Example Candidate for Congress,115876,C00776658,,f,236159855,2021-04-07 0:00:00,1308650,2021-04-11 0:00:00,,,,,3.95,,,,VISA,,,,,t,t,t,,,0,,,,,,,unknown,,,,,,,,,,
AB194717906,2021-04-08 1:39:04,2900,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Tasneem,Sabri,5099 scarborough dr,,Newark,CA,94560,United States,Not Employed,Not Employed,,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384162307,,,Example Candidate for Congress,115876,C00776658,,f,236161914,2021-04-08 0:00:00,1308650,2021-04-11 0:00:00,,,,,114.55,,,,VISA,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194718705,2021-04-08 3:18:41,200,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Hoda,Fahimi,333 fay way,,mountain view,CA,94043,United States,admin,google,,,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384163378,,,Example Candidate for Congress,115876,C00776658,,f,236162703,2021-04-08 0:00:00,1308650,2021-04-11 0:00:00,,,,,7.9,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,
AB194719996,2021-04-08 6:58:40,1000,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Alexandra,Martinez,82 Menotomy road,,Arlington,MA,2476,United States,Not Employed,Not Employed,pretend384228639@example.com,9144772818,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384228639,,,Example Candidate for Congress,115876,C00776658,,f,236200027,2021-04-08 0:00:00,1308650,2021-04-11 0:00:00,,,,,39.5,,,,VISA,,,,,t,,,,,,,,,,,,unknown,,,,,,,,,,
AB194721356,2021-04-08 8:35:00,1000,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Derek,Matus,3334 Middlebury College,,Middlebury,VT,5753,United States,Consultant,Ey,pretend384230385@example.com,,,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384230385,,,Example Candidate for Congress,115876,C00776658,,f,236201350,2021-04-08 0:00:00,1308650,2021-04-11 0:00:00,,,,,39.5,,,,VISA,,,,,t,,,,,,t,,,,,,unknown,,,,,,,,,,
AB194721697,2021-04-08 8:50:15,750,,1,Example Candidate,https://secure.actblue.com/page/examplecandidate,,,,Gehad,Saber,3130 60TH ST,,WOODSIDE,NY,11377-1221,United States,Cost Analyst,Turner Construction,pretend384230818@example.com,,t,,400280928,2021-04-11,,,,,,,,,examplecandidate,,,,,,,,,384230818,,,Example Candidate for Congress,115876,C00776658,,f,236201707,2021-04-08 0:00:00,1308650,2021-04-11 0:00:00,,,,,29.63,,,,VISA,,,,,t,,,,,,t,,t,,,,unknown,,,,,,,,,,
